1,212,4.286400
2,424,1.846797
3,636,0.631447
4,848,-0.072966
5,1060,-0.506832
6,1272,-0.834621
7,1484,-1.056330
8,1696,-1.244468
9,1908,-1.415039
10,2120,-1.538155
11,2332,-1.679339
12,2544,-1.775771
13,2756,-1.841786
14,2968,-1.955711
15,3180,-2.025297
16,3392,-2.105516
17,3604,-2.154232
18,3816,-2.248745
19,4028,-2.309270
20,4240,-2.357898
21,4452,-2.405470
22,4664,-2.492840
23,4876,-2.490683
24,5088,-2.535761
25,5300,-2.595528
26,5512,-2.608023
27,5724,-2.634849
28,5936,-2.668010
29,6148,-2.687512
30,6360,-2.682451
