1,393,3.210443
2,786,0.579296
3,1179,-0.393197
4,1572,-0.923292
5,1965,-1.277795
6,2358,-1.522261
7,2751,-1.733904
8,3144,-1.889551
9,3537,-2.037637
10,3930,-2.139554
11,4323,-2.250602
12,4716,-2.349360
13,5109,-2.421490
14,5502,-2.490247
15,5895,-2.541969
16,6288,-2.569395
17,6681,-2.598979
18,7074,-2.594861
19,7467,-2.605172
20,7860,-2.561338
21,8253,-2.534299
22,8646,-2.552899
23,9039,-2.488627
24,9432,-2.468917
25,9825,-2.410484
26,10218,-2.313686
27,10611,-2.215675
28,11004,-2.114827
29,11397,-1.981735
30,11790,-1.922869
