1,229,57.470088
2,458,65.906923
3,687,66.353995
4,916,65.979373
5,1145,65.200956
6,1374,64.239351
7,1603,63.213015
8,1832,62.096383
9,2061,60.979270
10,2290,59.752254
11,2519,58.558417
12,2748,57.359196
13,2977,56.194592
14,3206,55.002259
15,3435,53.803401
16,3664,52.718166
17,3893,51.583904
18,4122,50.471988
19,4351,49.363217
20,4580,48.287081
21,4809,47.266112
22,5038,46.193048
23,5267,45.195371
24,5496,44.171580
25,5725,43.208484
26,5954,42.269719
27,6183,41.316098
28,6412,40.436974
29,6641,39.528428
30,6870,38.637128
