1,587,11.584244
2,1174,20.835791
3,1761,28.556816
4,2348,34.047512
5,2935,37.981419
6,3522,41.830357
7,4109,45.591129
8,4696,48.772396
9,5283,53.198811
10,5870,57.673840
11,6457,63.985645
12,7044,70.108070
13,7631,79.242157
14,8218,89.493111
15,8805,98.279716
16,9392,110.164375
17,9979,122.310036
18,10566,134.300980
19,11153,144.944199
20,11740,158.584686
21,12327,166.907562
22,12914,176.912598
23,13501,186.562744
24,14088,191.669403
25,14675,195.554443
26,15262,199.198074
27,15849,198.717239
28,16436,200.123062
29,17023,199.697510
30,17610,200.344925
