1,587,0.009128
2,1174,0.010048
3,1761,0.009862
4,2348,0.009454
5,2935,0.009793
6,3522,0.010094
7,4109,0.009952
8,4696,0.010027
9,5283,0.010294
10,5870,0.010554
11,6457,0.010343
12,7044,0.010111
13,7631,0.009882
14,8218,0.009663
15,8805,0.010105
16,9392,0.009421
17,9979,0.009603
18,10566,0.009896
19,11153,0.009776
20,11740,0.009860
21,12327,0.009532
22,12914,0.009424
23,13501,0.009402
24,14088,0.009470
25,14675,0.009468
26,15262,0.009444
27,15849,0.009466
28,16436,0.009469
29,17023,0.009347
30,17610,0.009444
