1,587,2.448124
2,1174,2.571443
3,1761,3.351115
4,2348,3.984671
5,2935,4.927253
6,3522,5.970894
7,4109,7.622609
8,4696,9.678480
9,5283,12.754412
10,5870,16.343818
11,6457,20.111402
12,7044,24.179409
13,7631,26.920562
14,8218,29.514230
15,8805,30.340450
16,9392,30.741388
17,9979,30.664657
18,10566,30.670473
19,11153,32.243976
20,11740,34.021453
21,12327,35.864955
22,12914,38.163086
23,13501,39.039232
24,14088,40.760852
25,14675,42.690820
26,15262,43.838801
27,15849,43.922287
28,16436,43.863930
29,17023,44.275616
30,17610,47.378193
